Name,Pos,Team,VOR,VOR Rank,ADP Rank,Average ADP,predicted_fantasy_points,Positional_Rank,Proj_Points_Normalized,ADP Normalized,Composite_Score,Tier,Overall_Rank,Cluster,Positional_Rank_Within_Tier
Rashee Rice,WR,KC,0.6493915783944673,93.0,74.0,74.0,147.55870279079792,49.0,0.404253467700187,0.7804154302670623,147.22310316219506,2,117.0,21,43.0
Jake Ferguson,TE,DAL,0.6117482272607897,127.0,88.0,89.0,146.8419693140154,7.0,0.4022898966743768,0.7359050445103857,146.90233203284635,2,118.0,21,44.0
Trey McBride,TE,ARI,0.588987131226473,131.0,44.0,46.0,146.24378536825373,8.0,0.4006511052657835,0.8635014836795252,146.00651076732376,2,119.0,21,45.0
Evan Engram,TE,JAC,0.6064956666374859,129.0,68.0,69.7,145.6696677686976,9.0,0.3990782462876362,0.7931750741839763,145.67376904948043,2,120.0,21,46.0
DeAndre Hopkins,WR,TEN,0.6437013043858882,96.0,78.0,75.7,144.86132535941553,51.0,0.3968637024087524,0.7753709198813057,144.9270599255921,2,121.0,21,47.0
Curtis Samuel,WR,BUF,0.6445767311564388,95.0,114.0,114.3,144.08339272151625,52.0,0.39473246947867036,0.6608308605341247,144.43725900575973,2,122.0,2,48.0
Calvin Ridley,WR,TEN,0.6327584697540052,106.0,65.0,66.3,142.90517260905312,53.0,0.39150460451937613,0.8032640949554897,143.09581592250848,2,123.0,21,49.0
Wan’Dale Robinson,WR,NYG,0.6086842335638625,128.0,0.0,0.0,141.12421238085534,54.0,0.3866254660174215,1.0,140.3843519150588,2,124.0,9,50.0
Bryce Young,QB,CAR,0.5462663048236015,152.0,173.0,175.3,246.33788152214854,24.0,0.674870007311128,0.4798219584569733,140.22559982642574,2,125.0,33,51.0
Josh Downs,WR,IND,0.6404184539963232,98.0,144.0,143.3,139.5016674799966,55.0,0.38218032391284945,0.5747774480712166,139.5543265157504,2,126.0,2,52.0
Gabe Davis,WR,JAC,0.6349470366803818,102.5,143.0,143.0,139.4675635888566,56.0,0.382086892512365,0.5756676557863502,139.46430985434202,2,127.0,2,53.0
Brandin Cooks,WR,DAL,0.6307887595202661,108.0,134.0,133.3,139.3514647823611,57.0,0.3817688269273876,0.6044510385756676,139.31571202479063,2,128.0,2,54.0
Jerry Jeudy,WR,CLE,0.6349470366803818,102.5,133.0,131.7,138.94425232046922,59.0,0.380653223125666,0.6091988130563799,139.1227289082253,2,129.0,2,55.0
Jordan Addison,WR,MIN,0.6246607721264116,119.0,83.0,85.0,139.13935333439517,58.0,0.381187724039131,0.7477744807121662,139.073801367115,2,130.0,21,56.0
Bo Nix,QB,DEN,0.5642563249584172,141.0,194.0,198.3,242.17035217017377,25.0,0.6634525974233042,0.41157270029673587,138.11757671250155,2,131.0,33,57.0
Odell Beckham Jr.,WR,MIA,0.6296944760570778,110.0,221.0,231.7,136.82561911653315,61.0,0.37484899197374155,0.3124629080118695,136.83685974065236,2,132.0,32,58.0
Demario Douglas,WR,NE,0.625098485511687,118.0,168.0,169.0,136.8419454824273,60.0,0.37489371986781234,0.49851632047477745,136.78109680980202,2,133.0,2,59.0
Jaxon Smith-Njigba,WR,SEA,0.6218156351221221,123.0,91.0,92.7,135.78715263650764,62.0,0.3720039976243679,0.7249258160237388,136.12418514141112,2,134.0,21,60.0
Dalton Kincaid,TE,BUF,0.5765122997461262,135.0,52.0,53.7,135.9606927352021,10.0,0.3724794300140232,0.8406528189910979,136.0071221082269,2,135.0,21,61.0
Jayden Daniels,QB,WAS,0.6272870524380636,114.0,97.0,98.3,236.24456512413465,26.0,0.6472182451492102,0.7083086053412463,134.72474455798124,2,136.0,31,62.0
Dallas Goedert,TE,PHI,0.5706031690449094,139.0,112.0,112.7,132.6588886929311,11.0,0.36343377083899703,0.6655786350148367,132.18557481702365,2,137.0,20,63.0
Malachi Corley,WR,NYJ,0.44169657708132715,291.0,203.0,209.7,132.30338990202276,63.0,0.36245984238699874,0.3777448071216618,131.88757632836823,2,138.0,30,64.0
T.J. Hockenson,TE,MIN,0.5681957454258952,140.0,129.0,128.7,131.32647527866217,12.0,0.3597834761905539,0.6181008902077152,131.42316118861518,2,139.0,20,65.0
Cole Kmet,TE,CHI,0.5710408824301847,138.0,136.0,135.7,130.90728174485466,13.0,0.35863504891060255,0.5973293768545994,131.10175646978956,2,140.0,19,66.0
Dalton Schultz,TE,HOU,0.5730105926639237,137.0,126.0,127.7,130.19380252541703,14.0,0.35668039328450507,0.6210682492581603,130.67498531717288,2,141.0,20,67.0
Tyler Allgeier,RB,ATL,0.5590037643351133,143.0,163.0,160.7,126.52799069368282,39.0,0.3466374943101496,0.5231454005934719,125.88610935777251,2,142.0,19,68.0
Tyler Conklin,TE,NYJ,0.5563774840234614,146.5,167.0,167.3,124.37840258461766,15.0,0.34074845875493276,0.5035608308605342,123.95500821945116,2,143.0,19,69.0
Jonnu Smith,TE,MIA,0.5563774840234614,146.5,186.0,185.3,123.25932665743753,16.0,0.33768262586519976,0.4501483679525222,123.27861046105838,2,144.0,19,70.0
Darnell Mooney,WR,ATL,0.578700866672503,133.0,162.0,159.7,122.26240764050718,64.0,0.33495145540904764,0.526112759643917,122.96438333647758,2,145.0,19,71.0
Pat Freiermuth,TE,PIT,0.5533134903265342,149.0,130.0,129.3,121.54484509646635,17.0,0.33298561306133106,0.616320474777448,121.79032021874791,2,146.0,20,72.0
Michael Wilson,WR,ARI,0.5736671627418367,136.0,161.0,159.3,118.01149015518386,65.0,0.32330559446118035,0.5272997032640949,118.27183653949355,2,147.0,19,73.0
Jahan Dotson,WR,WAS,0.5544077737897225,148.0,141.0,141.7,116.35486517524042,66.0,0.31876708619189614,0.5795252225519288,116.13495840113356,2,148.0,19,74.0
Xavier Worthy,WR,KC,0.5495929265516939,150.0,92.0,93.0,112.92624554750496,67.0,0.30937400162471856,0.7240356083086054,113.08606711915661,3,149.0,20,1.0
Jerome Ford,RB,CLE,0.5307712509848551,157.0,115.0,114.7,113.31991575434914,40.0,0.31045250491349197,0.6596439169139465,112.94844389912495,3,150.0,20,2.0
Jameson Williams,WR,DET,0.5622866147246783,142.0,107.0,104.3,111.38264638656199,68.0,0.30514514014960126,0.6905044510385756,111.77513661226243,3,151.0,20,3.0
Hunter Henry,TE,NE,0.53405410137442,156.0,164.0,161.3,110.98558088730732,18.0,0.3040573350798767,0.5213649851632047,111.23607817486607,3,152.0,19,4.0
Ty Chandler,RB,MIN,0.5228924100498994,162.0,139.0,140.7,110.70200572767294,41.0,0.30328044941018933,0.5824925816023739,111.16483417109539,3,153.0,19,5.0
Gardner Minshew II,QB,LV,0.4348244769325046,296.0,207.0,216.7,194.7973027975643,27.0,0.5336688630707423,0.35697329376854603,111.0498969534161,3,154.0,30,6.0
Rome Odunze,WR,CHI,0.5465289328547668,151.0,95.0,96.3,107.84944695168203,69.0,0.29546554757652504,0.7142433234421365,107.73956621609426,3,155.0,20,7.0
